date,Coal (Black) -  MW,Bioenergy (Biogas) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2021-09-01 11:30,734.50,10.93,151.70,226.80,862.70,50.51,487.10,15.80,NaN,29.46
2021-09-01 12:00,738.10,10.76,149.80,250.20,887.10,48.56,488.70,15.70,NaN,-10.24
2021-09-01 12:30,748.10,10.91,140.20,215.50,926.20,41.60,416.50,15.60,NaN,28.51
2021-09-01 13:00,744.90,11.68,147.80,302.20,839.50,38.96,383.40,15.60,NaN,27.87
2021-09-01 13:30,823.40,11.78,148.80,336.60,776.40,25.44,407.80,15.50,NaN,29.46
2021-09-01 14:00,928.90,11.80,150.70,273.40,787.60,37.26,388.70,15.30,NaN,34.42
2021-09-01 14:30,977.40,11.82,149.30,238.80,811.50,16.60,312.00,15.60,NaN,40.85
2021-09-01 15:00,976.70,10.77,168.00,320.10,751.80,6.21,271.00,16.70,NaN,40.79
2021-09-01 15:30,1010.00,11.81,209.80,294.40,762.80,8.51,219.80,16.20,NaN,49.88
2021-09-01 16:00,1088.00,11.71,245.30,439.30,677.00,7.21,220.20,15.10,NaN,50.15
2021-09-01 16:30,1202.00,11.77,252.50,270.60,813.80,6.31,136.60,14.80,NaN,54.18
2021-09-01 17:00,1207.00,12.12,281.80,411.40,844.30,0.18,110.80,14.20,NaN,52.64
2021-09-01 17:30,1207.00,11.93,279.80,565.60,841.50,0.00,62.39,14.10,NaN,83.77
2021-09-01 18:00,1217.00,11.90,295.70,707.20,807.10,0.00,1.89,14.30,NaN,103.30
2021-09-01 18:30,1216.00,11.93,275.50,629.80,859.40,0.00,2.36,15.10,NaN,69.42
2021-09-01 19:00,1208.00,11.97,296.20,629.80,795.60,0.00,2.84,14.30,NaN,48.60
2021-09-01 19:30,1203.00,11.90,278.40,554.90,829.40,0.00,3.32,15.10,NaN,44.04
2021-09-01 20:00,1173.00,11.96,263.50,511.60,842.20,0.00,3.80,15.80,NaN,44.41
2021-09-01 20:30,1146.00,12.00,286.10,406.10,808.20,0.00,4.28,16.40,NaN,42.10
2021-09-01 21:00,1118.00,12.03,265.90,391.10,710.50,0.00,4.76,16.00,NaN,42.83
2021-09-01 21:30,1099.00,11.91,253.00,222.70,767.00,0.00,5.24,17.10,NaN,40.94
2021-09-01 22:00,997.60,11.87,242.40,189.80,761.00,0.00,5.71,17.50,NaN,40.84
2021-09-01 22:30,883.90,12.02,205.00,196.70,765.70,0.00,6.19,17.70,NaN,34.42
2021-09-01 23:00,824.10,12.11,205.40,170.80,753.50,0.00,6.67,17.80,NaN,25.30
2021-09-01 23:30,816.00,12.09,163.20,140.00,765.40,0.00,7.15,18.20,NaN,29.66
2021-09-02 00:00,754.30,7.90,163.20,126.20,773.80,0.00,7.63,16.40,NaN,-10.24
2021-09-02 00:30,725.50,9.37,142.60,156.40,780.60,0.00,8.11,17.00,NaN,-10.24
2021-09-02 01:00,714.70,10.20,143.50,150.80,764.90,0.00,8.59,17.10,NaN,-10.24
2021-09-02 01:30,721.10,10.36,145.90,161.40,750.20,0.00,9.06,17.30,NaN,-10.24
2021-09-02 02:00,717.60,10.34,130.60,140.90,783.70,0.00,9.54,16.50,NaN,-10.24
2021-09-02 02:30,721.50,10.35,133.40,144.80,769.60,0.00,10.02,15.20,NaN,-10.24
2021-09-02 03:00,721.50,10.18,147.40,159.60,745.10,0.00,10.50,15.30,NaN,-10.24
2021-09-02 03:30,745.30,10.40,128.20,128.80,777.90,0.00,10.98,15.40,NaN,-10.24
2021-09-02 04:00,743.80,10.30,132.00,139.80,807.30,0.00,11.46,14.20,NaN,-10.24
2021-09-02 04:30,781.30,10.39,165.60,125.50,822.10,0.00,11.94,14.20,NaN,-10.24
2021-09-02 05:00,808.20,10.36,207.80,123.10,834.40,0.00,12.41,14.90,NaN,26.18
2021-09-02 05:30,809.50,10.36,270.20,260.20,796.40,0.00,12.89,14.80,NaN,26.44
2021-09-02 06:00,1063.00,10.20,270.20,283.50,760.60,0.01,13.37,14.20,NaN,49.56
2021-09-02 06:30,1210.00,9.78,279.40,335.90,743.70,6.04,13.85,14.40,NaN,50.54
2021-09-02 07:00,1218.00,9.70,283.70,394.30,741.40,54.28,57.46,15.40,NaN,51.27
2021-09-02 07:30,1216.00,8.82,283.70,475.40,605.90,37.91,149.70,15.20,NaN,51.26
2021-09-02 08:00,1194.00,7.81,251.00,260.80,641.20,99.87,307.70,15.20,NaN,51.16
2021-09-02 08:30,1138.00,8.21,261.10,214.90,656.90,122.60,435.40,14.90,NaN,49.96
2021-09-02 09:00,961.50,8.58,208.80,178.60,727.50,67.94,477.70,14.60,NaN,49.59
2021-09-02 09:30,830.10,8.63,205.90,263.80,810.80,69.33,769.00,13.20,NaN,49.43
2021-09-02 10:00,899.10,8.39,163.20,172.50,780.20,74.41,645.80,13.10,NaN,48.82
2021-09-02 10:30,763.50,9.43,163.70,154.10,640.30,59.46,908.60,13.40,NaN,24.21
2021-09-02 11:00,705.70,10.15,147.80,266.90,616.20,111.80,1033.00,13.60,NaN,29.84
2021-09-02 11:30,686.40,10.11,122.90,206.70,700.20,58.43,928.90,13.00,NaN,-10.24